Unnamed: 0,아이디,댓글 내용
355,  @user-ig5rg8ig2s,카즈하 고음이랑 사쿠라는 진짜 너무했다
356,  @witchfloo3117,"All of your vocals improved so much. Kazuha, Eunchae and Sakura great job !!"
357,  @user-we1vv4mc1l,은채 라이브 잘한다
358,  @user-lv3tb9cf1n,사쿠라는 경력만 십년이 넘어가고 그렇게 뚝딱이였던 사람이 이렇게 춤이 는거 보면 독기도 있는거 같은데 아직도 이렇게 노래가 답이 없는거 보면 진짜 그냥 성대랑 발성 자체가 타고난 음치 중의 음치라고 밖에 설명이 안된다…그냥 노래는 포기하고 랩이라도 제대로 배우던지 좀 어떻게 해야할듯…타고난 스타성도 있고 사람이 멋있어서 진짜 응원하고 싶은데 정말 이건 너무 처참하다
359,  @nagmo2528,중요한 시기에 이런게 까발려지다니 ㄷ ㄷ  ㄷ ㄷ
360,  @abrar2775,How did Kazuha become a singer?
361,  @yurimyeon9631,Kazuha looks comfortable rapping give her only rap parts
362,  @msj0015,I believe HYBE will turn Sakura into a great vocalist one day. Fighting sakura! It was better than before. Your continuous spirit for keep trying will make you the best one 1 day.
363,  @jeromepowell9085,중딩 수련회 장기자랑 수준실력
364,  @user-xl4db7jo4q,"윤진,채원 빼고 다 노래연습이 시급한듯… 음정 다 흔들리고 삑사리 나고 보는 내내 조마조마했음"
365,  @jasonzw6754,Wooww
366,  @Sowhat-pz9cn,장원영은 천사였다...
367,  @va_k5191,난 제일 어이없는게 이런 라이브 실력을 가진 애들이 에스파랑 비교하면서 엄청나게 올려치기 당했다는 거임 에스파 라이브 영상 보면 걍 귀가 뻥 뚫림 도대체 걔네는 왜 욕 먹은 거냐... 하이브 독기컨셉 작작 밀어라 제발 가수들 보컬실력 좀 커버해 ㅠ
368,  @k-kunismylife6055,Zuha surprised me a lot Her voval getting better and better every comeback
369,  @ginkachi2810,people in the the comments saying eunchae did well are beyond delulu
370,  @ramenwithspammm7980,this is one of the most stable encore stage i’ve seen 
371,  @kingryuseiyumo2947,This was... something 
372,  @TheIrearmel,"Totally no hate but abruptly honest, Sakura is the definition of beauty only. Like, she can’t carry a tune to save her life. Ironically her rap part is my favourite but she sang it here like flat line ——— "
373,  @tag75,The comments are soo negative??? I thought they sounded great tbh!! Definitely a slay
374,  @staycruv8662,울 핌둥이들 고생많았고.. 잘했고... 1위 해줘서 고마웡!!!!!
375,  @user-ch1ml8sn3v,일멤 두명이 심각하네…김채원은 개잘한다
376,  @angelaSmith06,Hybe should really invest more into vocal training
377,  @jihwans_vlog,와......라이브 실력이...채원이랑 윤진은 그마나 나은대딴애들은 음정이 흔들리고.....복소리에 힘이 없고아이고야..........
378,  @user-ye5lj1vb1h,르세라핌 진짜 너무 잘불러요!!!!
379,  @Earthian512,어떻게 춤추면서 노래할 때보다 표정을 더 찡그리냐.. 라이브가 아니란 거지..
380,  @javender0333,kazuha really surprise me a lot....Just WOW!!!!
381,  @phryicmelon9523,"The studio & encore sounds like two different versions,  it's sad because they seem to be actually trying but the vocals ain't doing sh!t. Hybe groups really need that! their encores have always been lacking and no I have seen groups enjoying + serving vocals in encores so it's a them problem."
382,  @user-bq8lt4ki8i,근데 사쿠라는 정말 실력이 나빠도 미워할 수가 없음.. 그냥 항상 열심히 하는게 보이고 매번 실력도 조금씩 늘어오니까 미워보이지 않음
383,  @jackiekun4545,They need to watch a r&b singer sing...
384,  @jine4802,엔믹스가 체고엿다...
385,  @pubgharamasu5144,damn only chaewon can sing what happened to hybe???
386,  @ladrajustineo.9249,LIVE VOCALS! 
387,  @SSG-sr2uk,3:15 여기부터 시작ㅋㅋㅋㅋㅋ 아이고 꾸라야...
388,  @ienjoykpop,Vocal training>>>>Abs training
389,  @deepinsz,Le Serafim wow 
390,  @user-gp1bt4vm3r,"Clearly, Yunjin and Chaewon are the best vocalists here. But, I think Kazuha and Eunchae just needs to train her vocals to be more stable and they'll sound better. They both have decent vocal tone, but it's unstable. They need more control and should work on that. And, I hate to say it, but Sakura really needs to improve. This is NOT a hate comment either. It's just the truth of it. This is the very reason why she doesn't get much lines, no matter how much people try to call it ""mistreatment."" If she had stable vocals and still got small parts, then, we can call it mistreatment. But, that's not the case. Her part isn't vocal intensive at all, but you can clearly see how much she struggles. Overprotective fans used to say that it's because her parts aren't not in her ""deep voice"" range. Well, they got her to rap in a more comfortable lower pitch and you still see the result of that."
391,  @jwwldk,This is really unforgiven
392,  @im_daenieee,"Yunjin, Kazuha, and Chaewon voice though, the improvement"
393,  @marc8353,"Yunjin and Chaewon did well. Eunchae sounded good too, just a bit flat in some parts (one note was flat, but other than that her parts might be too low so it sounds flat). Zuha‘s parts don’t seem to work out for her. Sakura still has her shaky instable voice from the izone days…"
394,  @kittykitty5899,Sakura singing is like she wanna cry
395,  @love4eva13,the sad thing is the song isnt even difficult
396,  @user-pi9rn2kc9p,카피돌이 실력까지 겸비하셨네
397,  @zhenti_coffee5376,They had one job...one WORD to sing.. lord..HAJSHSJAAJJ
398,  @mireYANG97,Congratulations babies!! You deserve it... Zuha improved so much! Her vocals are so good on this encore... She is working hard to show us her amazing talents 
399,  @user-nn1dg3ld4z,다들 핌쳣다 왤케 잘함??? 너무 잘해!!!!!!!!! 진짜로!!!! 우리 핌둥이들 1위 추카뿡!!
400,  @user-wk8nh2fw8d,김채원은 아이즈원때부터 실력은 믿음직스럽네
401,  @saiyaratip4404,Honestly Chaewon was super gd and also yunjin and eunchae was pretty normal but kazuha and sakura were so bad that it dragged the others down
402,  @qinkoo7682,에스파 라이브 보다 보니 학예회 느낌이다
403,  @angelf722,Compare this to Aespa’s encore for spicy and see who deserves the win
404,  @soochiiiiiii,"Yunjin and Kazuha, my two bias, did so well"
405,  @user-wv1og2bw5b,이이고 꾸라야…. 하 진짜 노력해도안되는건 타고난 성대인건가 발성인건가 둘다인건가 안타깝다..
406,  @camellia2835,역시 리더는 흔들림이 없네 ㅎㅎㅎ
407,  @kpopxluv,Chaewon & yujin are the only stable ones
408,  @My_gel,와 르세라핌 레전드다
409,  @kunoshitachan7019,bring back the real center of le sserafim
410,  @blacktosca3201,That ballerina girl been keeping her singing skill in closet or what. She's damn goooood
411,  @dreamot7968,jinjja Chaewon-ssi is a f*cking legend ㅋㅋㅋㅋ
412,  @user-qe6mh3lc2m,JYP가 앞으로 라이브하는 아이돌이 살아남는 다고 하는 이유..?
413,  @lisaadams7339,"I love the girls, but Sakura debuted in 2011 homegirl didn’t take any vocal training since then? Honestly congrats on making 10 years in the industry. I kazuha is not a “singer” she only started training just a year and a half ago but kura definitely needs to have at least stable vocals, I mean 12 years in the music industry???"
414,  @exdxs,채원이랑 윤진이는 잘하는데...다음 컴백 땐 채원이 파트 늘려주길
415,  @jdollatheg,"Their parts sound out their comfort singing range for 3/5 members. They need a song with each members singing in their comfort range, cause this is too much for them to handle vocally. Love them tho but this is unforgiven and the real villain "
416,  @Rich-jc4em,핌둥이들 컴백 첫 1위 진짜 많이 축하해요! 앞으로여러 음방 1위 레고레고!!!
417,  @user-ve7of3nb7j,윤진이는 실력이 확실히 있는데 무대에서 자기 보컬이 제대로 모니터링이 안 되는 환경+춤추거나 움직이면서도 바로 노래를 툭툭 불러야 하는 환경에 적응하려면 기존 창법처럼 호흡을 많이 쓰고 공간감을 쓰는 방식보다는 성대를 길게 늘리고 좀더 연구개랑 비강쪽으로 쭉 뻗어서 소리가 흔들리지 않게 꽉 잡는.. 전형적인 아이돌 창법 방식을 어느정도 체화하는 연습이 필요함 그게 안 돼서 갑자기 목소리 모니터링도 어려운 환경에 호흡도 다 흐트러진 상황에서 노래하려니까 파사지오 구간에서 호흡 위치 못잡아서 고음으로 끌고 가지 못하고 오히려 소리가 안으로 먹혀버림... 근데 이건 너무 전형적이고 흔한 케이스라서 교정도 빨리 될 거고 그것만 되면... 베이스도 탄탄하고 음색도 좋고 성량도 좋아서 금방 확확 성장할 듯
418,  @kttyrin,"this was months ago but sakura has been years into her career and her vocals are still like this. even Eunchae, still a kid is better than her"
419,  @doooli794,진짜 ㅈㄴ웃었네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 골때리네진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
420,  @holy-zzick,ㅋㅋ채원은 부르는 파트가 별로 없어서 아쉽네.제일 잘 부르는 거 같은데 ㅋㅋ
421,  @user-tu3zg8lh8r,아니 소속사에서 애들 기본 발성도 안시키고 데뷔시키네 너무 어이가 없어서 채원이 잘함
422,  @mdznazar3279,"Sakura is like crying while singing,dont be nervous be fearless kkura"
423,  @user-gp1bt4vm3r,"Sakura's solo stans need to realize that she's just not cut out to be a singer. There is no amount of training from any vocal teacher that can improve her singing abilities. It might sound harsh, but that's the truth of it. She just doesn't have the vocal chords for it. Even, her regular speaking voice is shaky. That's not going to transition well into singing.And, also stop deflecting those criticisms by saying that she's hard worker and how she's improved in dancing, desperate for positive feedback and try to shift the focus. The focus is her vocals. No one's talking about her as a person. You can't always baby her and sugarcoat everything.But, I think that Kazuha has room for improvement. She has decent sounding vocal tone, but lacks range + control. If she can improve on that, she could actually sound pretty decent and stable, at the very least. She also doesn't have that typical Japanese nasal tone.Eunchae is about the same as Kazuha. But, her vocals sound flat and emotionless. If she can improve on getting some range, control, and emotion, I think she can sound pretty decent as well. Obviously, vocally, Yunjin and Chaewon are carrying this group. Nothing more to be said there."
424,  @user-gx3rt9df7u,노래 저리 부르면서 좋탄다ㅋㅋ
425,  @DailyNazz,"Give me the mic, I will sing it."
426,  @minjunglim6071,3:13 아 깜짝이야!아니 윤진이 노래잘불른느줄 알았는데..은채랑채원이는 그나마 차분하네..
427,  @nianaruby,kazuha voice omg 
428,  @angelinaa.5260,Yunjin and Chaewon carrying the vocals
429,  @lulu_Lm,Kazuha 3mths of training is starting to show.
430,  @user-le6fw7hd4j,내가 쉴새없이 듣던 음원은 대체 누가 부른거야 기계가 대신 불러줬던거야??
431,  @user-qx1bu4kd1q,르세라핌을 좋아할 일은 없을 듯하다...
432,  @user-jr9gd9he4y,여자친구가  진짜 대단했음을 느낀다....
433,  @ada17890,3:15 I physically cannot watch this 
434,  @yytioe,ong chaewon's vocal is so amazing
435,  @user-pz4vq8qo4k,즈하 미친 듯얼굴 선녀몸은 나무꾼랩 잘함예능캐와 뭐지 진짜
436,  @ikalizaaa1165,그들의 목소리는 매우 불완전하다
437,  @monique2939,Chaewon is the only good and stable one but the others are not bad they have  potential they just need to practice more
438,  @mymeloly,데뷔한지 1년 정도 밖에 안되지않았나?...이 그룹은 최소3년 뒤부턴 보컬마저 단단해질거같은데...
439,  @jaharaholan7502,Chaewon 
440,  @dscollections,I'm surprised with Kazuha and Eunchae   more lines for you on next comeback please 
441,  @liquid_meme,역시 아이돌은 회사가 이미지 만들기 나름임이렇게 누가봐도 심각한 무대조차도 하이브의 포장질에 속아넘어간 팬덤은 종교처럼 감싸주거든
442,  @HIT_JJAENG,음… 르세라핌도 진짜로 너무너무 좋아하는 그룹인데 라이브 연습은 확실히 필요해보인다… 사쿠라님은 댄스 실력도 노력해서 예전보다 엄청나게 끌어올리셨으니까 발음 교정이랑 보컬 연습도 독기있게 하시면 지금보다는 발전하지 않을까 싶음 진짜 르세라핌 더 잘됐으면 하는 팬심에 댓글 달아봄
443,  @user-xh9dm1zs6h,보컬 이렇게 약해선 빌보드가도 아무 소용없다 연습많이 하고 성장하길..
444,  @mineeralwater6477,Kualitas nyanyian di encore-nya unforgiven bgt. Tak bisa dimaafkan kekurangannya wkwkwkwkApalagi Kazuha.... serius seburuk itu nyanyiannya....? Tanpa koreografi loh
445,  @user-ys3hj5oy8r,하이브는 진짜 보컬수업을 제대로 안시켜주나보다...
446,  @heartbeat7223,Chaewon sounds like the studio version
447,  @soccerdog132,진짜 채원이가 제일 잘부르는둣... 진짜 여긴 어떡해 한겨??
448,  @yaziollo_official,"Many people complaining about their vocals, BUT NO ONE HERE KNOWS HOW TO DO IT BETTER!!! NOBODY HERE STRIVES THEY WORK HARD LIKE THEY WORK!! THEN DON'T SAY WHAT COMES IN THEIR HEAD! IS IT BAD FOR YOU? GUARD YOUR OPINION! EVEN BECAUSE WE ALL MAKE MISTAKES AND NO IDOL IS PERFECT TO NEVER MISTAKE! TO MISTAKE IS HUMAN!"
449,  @mithin1700,
450,  @craigslistreply6544,Thank god they're an excellent performance and dance group because those vocals 
451,  @Lina_1733,Я в шоке
452,  @kevincoem,"It feels heartbreaking to see how insecure Sakura is about singing live with no backing track like this, she almost looked like she wanted to cry during her line in the 2nd verse. I hope people won't post mean comments about this encore stage because we've all seen that happen before with Momo and it was awful to see all the hate being spread around. Stay confident Kkura "
453,  @jooojk,"Kazuha and Sakura might be nervous, I don't think that's the way they always sing"
454,  @timeofVIIXVIII,분명 노래 컨셉은 더 성장하고 단단해진다였는데.. ?
455,  @user-mg8ly1lo2o,"정말 실력 형편없고 춤추면서 부르는것도 아니고 서서 부르는데도 실력이 이러니...왜 가수를 하는지 모르겠다. 노래가 조금 되는 애가.. 그나마  허윤진 정도 . 아직  데뷔 하지도 않은  베이비 몬스터 멤버가된  15살 짜리, 아현,  하람 이런 애들 하고 실력차이가  하늘과 땅 차이네.  요즘 나온 4세대 아이돌 그룹에서 중에서 실력이  제일 형펀없다"
456,  @user-el4kt3zb4s,"채원,윤진은 말할 것도 없이 너무 잘 하고 카즈하 랩 진짜 쫜득하게 부른다 은채도 신인이거 아직 어린데 저정도로 하는 건 잘 하는 거다 얘는 아직 성장할 가능성이 너무 높아보임사쿠라는 입덕몰이나 하자.. 비주얼"
457,  @Very_hungry,채원은 완벽하다고 봐도 될 정도로 항상 안정적이고 윤진이는 이번 무대는 왜인지 살짝 불안했지만 원래 잘하니까 걱정없고 은채는 생각보다 잘해줌 그리고 어리니까 앞으로 더 잘해질 거 같음카즈하도 연습생기간이 너무 짧았던만큼 발전 가능성 충분함. 사쿠라는 보컬이 원래 뛰어나진 않았지만 보컬 문제로 악플 심하게 받아서 심리적인 요인 때문에 자신감이 많이 떨어져서 더 안 좋아보이는 거 같음 이걸 이겨내야할듯
458,  @agreytha3913,UNFORGIVEN GIRLS 
459,  @aznbacon321,"Honestly it’s not that bad people be overreacting. They’re not even singing with monitors, it looks super informal. You watch Yunjin singing in a proper live setting she’s fantastic. People like to throw out terms like “off-key” “out of tune” and “unstable” without actually having good ears."
460,  @user-ls6id8jv5p,춤도없이 하는데 지리네요 ㅎ
461,  @user_r45T31,조졌구나…
462,  @sam09835,only yunjin can sing
463,  @abhilipsabehuria-on7ri,Kazuha and sakura need more vocal practice
464,  @ainanorv8410,EUNCHAE VOICE IS SO GOOD 
465,  @NMDWS1730,사쿠라 미루쿠와 빡세게 똥내쏴리그실력으로 고개꺾는거 개킹받네 ㅋㅋㅋㅋ
466,  @star_mayonnaise,3:16 신기한점 : 사쿠라가 부르는 가사가 ‘ Get started let's get started 미래 그앞에 세겨둬 나의 story ‘ 이다
467,  @user-ss7ze4zl4v,어떻게 나우나우나우도 음이 나가냐…
468,  @user-pn5gw1if8f,와 썸넬에 백만 로고 박힌거 개 수치플
469,  @Useri77u7u7,I think one of the reasons why ppl think they’re not good is because the song is not hard to sing. Because if we exclude that they don’t sound THAT bad as y’all are making it out to be
470,  @check3190,"Wow, the girls did a good job. Because they won, fearnots won. Fearnots are a good team. Let's keep streaming unforgiven MV."
471,  @tweez5516,i really miss garam now
472,  @sunshinesuns,"chaewon really carrying the vocals, i feel bad for her"
473,  @user-mj2qr3hq5w,노래부르면서서로  웃참ㅋㅋ
474,  @user-lf9tc3ii5o,채원이가 제일 안정적이고 나머지도 그럭저럭 다 잘하는데 카즈하도 의외고 시쿠라....
475,  @Haris4024ever,yeahh they really struggling tho but its okay i love them just improve next time 
476,  @Spicy4urh2rt,즈하는 목에 힘을 너무 줘서 성대 전체를 딱붙이고 쌩목으로 노래를 하네 그래서 소리도 밖으로 잘 못나오고 안에 머무는거 같아ㅠㅠ 춤연습 만큼이나 노래연습도 더 많이해서 다음컴백때 기대할게!! 응원해!!!
477,  @user-hq4it8oe7t,"와 타팬이지만 진짜 당황,,"
478,  나눔이♡,은채는 막내인데 흔들림  없이 잘부르는거 실화냐? 채원잘부름
479,  @EKAHIELHA,ユンジンが笑いを取りに行き過ぎちゃったかな
480,  @beshahamdani8880,Amazing super awesome beautiful song Beautiful lyrics beautiful dancing moves I love you so much⚘⚘⚘️️️️
481,  @shxbxhddldl9831,"프듀였으면 최소 4번 반복편집에 심사위원, 다른 연습생들 아이고 소리 나오는거 까지 나오는거임"
482,  @daniadecastro,zuhaaaayahhhhh always surpasses expectations! My girl always slayssss
483,  @user-kw1if8uu6j,노래랑 라이브랑 너무 다르잖아. ; 새로운 목소리를 창조한 수준인데.
484,  @minjoon9,채원이 잘한다 화이팅
485,  @user-wz1ut5dz1e,"분명 하이브도 지금 분위기 인지했을것이고, 각 멤버들한테도 말해줬을텐데, 담엔 라이브 더 열심히 준비해서 에스파 같은 발전된 모습 보여줬으면 좋겠다,,"
486,  @welenv4063,Юджин умничка
487,  @rayssen257,"Sakura honestly just sounded frightened/nervous, her voice was shaky"
488,  @nunukkusuma8415,Everyone so goodFor Eunchae I am proud of you Good job 
489,  @user-kk6mv6bg2t,생각보다 은채가 되게 안정적이네
490,  @aniit4,los hinchas en las canciones de cancha armonizan mejor
491,  @momo-eh4ug,노래 못하는 걸 귀엽고 멋쩍은 척으로 비비지 마세요 
492,  @violetrose1613,how the hell does sakura have so much more experience on stage than the other members (from izone) and yet is the most incapable of holding a note
493,  @ep3350,The song was already mid… and these vocals….
494,  @euphoricdrrreamer,Waoh congrats my babies yall deserve the win and many more i'm proud of yall this encore is just great
495,  @nanatoldo,they sing like theyre at karaoke  literally unforgiving how are you this bad
496,  @iamastral886,윤진채원 잘한다 !!
497,  @RobertKim-ne7zp,이정도면 1등하기 두려운거아님?
498,  @itsrisha4258,Kalo urut kestabilan suara menurut gua Chaewon - Yunjin - Manchae - Kazuha - Sakura
499,  @user_0913,사쿠라는 언제 잘함? 데뷔 10년 넘었잖아 한 40년 기다려야하나?
500,  @alanguimaraes7323,"Yunjin's face after the live highnote, I love her! hahahaLe sserafim owes nothing to anyone and never will."
501,  @user-op7vq3jt8k,아이돌이 꼭 노래을 잘 부를 필요는 없지만  채원이표정이  레알 웃겨서  재밌네
502,  @user-qc7tg2pv4o,kazuhas vocal part should have gone to chaewon 
503,  @idk-cm7wk,The rest is unstable chaewon is the stable
504,  @nikiapostolopoulou2147,Kazuha and Eunchae are vocally stable. Chaewon and Sakura sound like they can't even hold a single note...
505,  @Peachaewon_luv,"the only members that coiuld even sing were chaewon,yunjin and eunchae"
506,  @augusttwenty06,Kzuha live is awesome ️
507,  @raim5367,is there a singer in hybe who has a top tier vocals?
508,  @TheWeirdoChannel100,this video is so terrible its addicting I'm crying
509,  @angelf722,Not even the chorus sounds harmonious 
510,  @seung_halloo,허윤진이랑 김채원은 진짜 잘하는듯
511,  @bzbz9300,Chaewon and Yujin caried
512,  @beau-vs4oy,I know yunjin and chaewon are great vocalists but Kazuha and eunchae surprised me with their vocals although it's not perfect but they did great
513,  @90s_kitsch,Sakura and Kazuha taking inspiration from jisoo!
514,  @strawnut6652,"Kkura may be having flashbacks at those very moment of how much hate she gonna get for this, and it just made her vocals bad bad and badder "
515,  @adwitapandey9257,Hate me for this but Sakura and Kazuha literally need to undebut and go back to their trainee days to get some vocal training.
516,  @Popo-hq4mg,오마이갓...
517,  @white__eye,3:15 금방이라도 울것같아..
518,  @diarythatyouforgot8704,"Sakura used to sing nasaly and out of breath, but now she improving so much.  My girl doing great. Keep going Sakura Chan!"
519,  @jk_bro9377,윤진이가 그 무대에서  버터 플라이 소화 가능한지 상상 해봐.. 아..
520,  @user-gt6xw9nc5t,본무대랑 차이가 너무 심하다...
521,  @jks9110,르세라핌 팬인데 쉴드칠 기력도 싹 사라지게 만드네..제발 더 연습하고 담엔 좋은 모습 보여주자..
522,  @angelf722,only fromis_9 and seventeen are saving hybe’s reputation for singing atp
523,  @mubashsherafirdous1744,It's not that bad as much people are making it seem to be
524,  @kkuralesserafim8674,"Sakura be calm, we believe in you you did very well "
525,  @jin4134,가수의 무대를 보면서.. 왜 이렇게 불안해하고 초조해야하는거지.. 라는 생각이 들었어요..
526,  @jihyun21371,This is why Sakura doesn't have many parts
527,  @knock8819,르세라핌 1위한거  감동했서 저금 울컥 했나바여 논란 생기게 해주시지 마세요 ㅜㅡㅜ
528,  @user-vq8wm1tw8d,사쿠라 아이돌 10년 이상하지 않았나..? 많이 놀랍…
529,  @niga7887,두 번 데뷔한 사쿠라 소녀의 힘은 아직 좋지 않다
530,  @dalknb4268,Yunjin's performance is stunning
531,  @yunamolang8099,역시 우리 만채당ㅠㅠ 노래 젤 앨범이랑 비슷한 듯
532,  @user-omfgqgq,카즈하 랩할때 목소리 좋네요 보컬보단 랩이 잘어울림
533,  @mcbill7352,Chaewon and yunjin sound great. Kazuha and sakura not so much
534,  @Dong_04,채워니 대박이다 진쨔 음원이랑 똑가터
535,  @user-uq8vu9zf1y,3:13 진짜 환장하겠네..
536,  @melon_ely,I hope Fearnots are not solo stans.. Can't we just be proud of every member and congratulate them for not just being successful but also stable and talented  why talk only about one or two members? ALL of them did well ️
537,  @Haris4024ever,apparently hardcore choreographies are becoming the shield for their bad vocals esp for 4 gen nowadays 
538,  @nueosp,카즈하는 유학해서 그런가 일본사람 답지 않게 영어 발음 좋당..
539,  @jojovlone,3:35 kazuha vocals wtf…
540,  @maybelle4969,Eunchae slyaed 
541,  @calvinyip364,I thought they can sing .
542,  @cypherruff,WOW KAZUHA AND EUNCHAE VOCALS
543,  @Wwananda,그래도 안부르려고 하는 것보단 열심히 부르는 게 훨씬 낫다 다음 컴백때는 더 발전해서 오길 바람
544,  @simultaneously6168,2:38 2:53 걍 노래방에서 내 친구들이 부르는거랑 별 차이없네 ㅋㅋㅋ제법 충격..
545,  @Dennis-nx6wy,본인들도 노래하면서 현타올듯 ㅋㅋㅋㅋㅋㅋ ㅠㅠㅠ
546,  @jungkook97m,열심히 부르는것만으로도 정이든다 아에 안부르는것 보단 좋아요~~ 더 연습하쟈!
547,  @Ohchaehyun2286,NOT SAKURA SOUNDING LIKE SHES ON CRACK EVERY LESSERAFLIM ENCORE 
548,  @idkhg,i love Chaewon's voice 🥹
549,  @user-kl9lo3sd2x,채원이 윤진이는 잘하고 카즈하는 랩 좋고 은채는 아직 어리니 좀 더 연습하면 될 듯!그와중에 카즈하 개이쁜데?
550,  @user-vn7qv4ct3k,외국인 맨버가 많아서 개성 좋앗는데 발음은 포기해야지 ㅋㅋ
551,  @Hope-ye2nm,and then ppl wanna say sakura shouldve won pd48 like be frrr
552,  @eugenie3484,It's hard to singing and dancing at the same time ...and they are so young
553,  @user-cq9jm4nd2z,님들 이 무대가 서바이벌 무대였다고 생각해보셈 ㅋㅋㅋㅋㅋㅋㅋ
554,  @hazwanisani114,Chaewon 2:20 - 2:28 sounds exactly like studio version 
555,  @anakkkana9015,사쿠라는 그냥 일본에서나 왕성한 활동 부탁드려요
556,  @user-nd7rp8wz2q,"한명은 염소, 한명은 랩은 쫀득한데 보컬은 영 별로고, 한명은 가사 까먹어서 장난치면서 무마하고, 한명은 음치둘에게 묻혔지만 그래도 연습 더해야하고.. 채원언니 제일 최고.."
557,  @user-js6dh6yy8d,꾸라..!! 1절에 Now Now Now 할 때 어떻게 된거야..!
558,  @user-lp8or9jz1u,카즈하는 랩은 잘하네. 보컬은 보컬멤 주고 즈하는 아예 랩메이킹 공부해서 힙합으로 가자 청순한 외모랑 갭차이나서 덕후저격에도 더 좋을듯
559,  @pinkneon5534,The one with short hair with bangs is the only one who can sing the others were heard like a screeching.
560,  @abbylam5424,congrats stable vocal queenskeep fighting
561,  @nasimabanu7866,Not yunjin getting embarrassed after forgetting the lyrics 
562,  @user-tt4rr2ww6r,사쿠라는 목소리 자체에 힘아리가없고 은채는 걍 답이없다..
563,  @wings2769,They just pick dancers and debut them as idols
564,  @yummy8320,이제보니 아이브가 선녀였구나
565,  @user-jh1bb5ch4q,sm돌들 라이브로 쳐패던 하이브퀴들 이번에 연달아 앵콜참사 터져서 업보 제대로 돌려받는거 개웃김ㅋㅋㅋㅋ ㅈㅁ도 그렇고 릇저씨들도 그렇고 ㅈㄴ 처참한 실력으로 욕쳐먹을게 뻔하니까 미리 선수쳐서 타그룹들한테 프레임씌우고 억까논란 만들어서 어그로몰고 패는게 맞았나봄
566,  @fim5705,Skr looks so nervous but she did good vocal esp when her nerves calmed down.
567,  @marianacielo7261,"Hybe debería invertir más tiempo al canto, parece solo concentrarse en el baile "
568,  @DawnBreaker5,"People saying Kazuha failed at the 2nd prechorus, but she sounded fine? Although it did look like it was out of her comfort zone. Not to be that person, but Garam really made the group more balanced. She had more range to her."
569,  @beshahamdani8880,Congratulations
570,  @angelf722,Even babymonster’s youngest can outsing …
571,  @woogi6245,3:14 와 일본인 두명 가슴이 웅장해지네
572,  @yuhsin9204,The sound of chaewon is like a CD but there are too few parts
573,  @user-qs7wq7zo5f,노래방 옆방에   여고생 다섯명이  노래부르는느낌  말고는 설명이 안된다
574,  @Park.xx_on,김채원은 짱이다
575,  @user-rj4pp5yj7f,대충 적당히 살고 싶을 때마다 보러 옴... 잘하는 척만 하다가는 이렇게 되겠지
576,  @user-uo5bt9fw2e,잘하는디…?ㅋㅋㅋㅋㅋㅋㅋ 극호..️
577,  @user-dc1be8ls2h,"다같이 부를 때 진심 노래방보다 못한 수준같음 언폴기본 암 어 빌런 할 때 진짜 다 따로 노는 기분이고 사쿠라는 한국에 꽤나 오래 있었는데도 가끔 듣다 보면 일본어 하나 싶었음 미래쿠앞에 파트 진짜 음원도, 앵콜도 다 일본어처럼 들림 한국어로 안 들림"
578,  @kimsoojung7023,Kim Chaewon's live vocal is really no joke...SMOOTH
579,  @user-wy8ec4fx7i,저도 피어나 인데 카즈아 사쿠라는 진짜 노래를 연습해야 할정도에요 갑자기 노래 듣고 좀 정이 털립니다..ㅠㅠ
580,  @eel_KIM,원터가 짱이네..
581,  @user-bv1wv3td2z,미치겠다.......
582,  @oepseum,Nunca entenderei o hype na Sakura
583,  @applepie3025,yunjin ate!!!
584,  @shragss,jen messing up the lyrics and manchae and chae helping her is so darn cute 
585,  @arss999,채원 윤진 은채가 잘한다 카즈하는 랩이 대박 하지만 보컬도 사쿠라랑 키웠음 좋겠음
586,  @user-gb1ix8pv9j,근데 김채원 엄청잘하네
587,  @redvelvet__,Chaewon >> Yunjin >>>>>>>>>>>>> Eunchae >>>> Kazuha > Sakura
588,  @choomr3824,즈하는 솔직히 이 정도면 개잘하는거다. 데뷔 한달전에 합류해서 뭐 제대로 보컬 트레이닝이나 받아봤겠냐 안무 연습이나 죽어라 했겠지. 춤 배우고 한국어 배우고 랩도해야되고 1년동안 이 정도면 기본적으로 가지고 있는 예체능 재능이 있음.
589,  @user-gp3el5ve4r,잘하는 애가 한 명이 없네 그나마 한 두명은 상대적으로 좀 나은 수준이지 전문 보컬들과 비교해보면 애들 장난치는 수준임
590,  @fsh2ldib,"Sakura chan fighting, belive your self, your voice is so calm and to great dont worry."
591,  @user-ej3lt7gq3c,채원이랑 윤진이 잘 부른다
592,  @nehag682,They aren't that bad.. sakura and kazuha just require more training... Others are stable....
593,  @user-yr8om7zq4u,르세라핌에 김채원만 노래 잘하구나 대박
594,  @water_choe,은채 윤진 채원은 그래도 안정적인 편이네…
595,  @ayyraa1433,parah banget suaranya 
596,  @rainbowpanda4232,Yunjin do so well as always  also she looks good with purple
597,  @pricelessjew9518,"For a minute, I thought I'm gonna go deaf thank God I survived their horrible encores and vocals."
