Unnamed: 0,아이디,댓글 내용
195,  @user-ix8iz4iu9r,리즈 파트 많은께 아주 고냥 날라댕기네 너무 좋아 노래도 잘하고
196,  @PinkBoy.7,liz is the most stable and she can hit those high notes with ease.
197,  @user-iz7no1or8n,유진 고음 fly up  넘 소름!  시원하게 지르네~  고음부분 다 엠알 처리할줄 알았는데 다 불러버림!  역시 아이브 리더답다
198,  @sein4937,유진님이랑 리즈님은 원래도 미쳤지만 후렴 성량 진짜 대단함.. 그 높은걸 갠전으로 이서도 진짜 잘한다
199,  @danji_103,리즈유진 고음 진짜 시원하다
200,  @user-xf1zb7wd5k,와 이서 진짜 잘한다 ㅠㅠㅠ
201,  @babygurl3832,"liz got a chance to sing this time and y’all aren’t gonna catch her skip any of her lines, that’s my main vocalist."
202,  @sampayne8134,This was truly her era for sure. That 5 second line in Kitsch made her lines in I Am that much more worth it imo
203,  @priyanoporn,Baby she been getting lines 
204,  @camomilacommel,"Eu acho que é por isso eles reduziram até em Kitsch, como iam promover 2 músicas e ela canta os 2 refrões nela e as notas altas, eles podem reduzir a outra já que ela é b-side"
205,  @babygurl3832, @priyanoporn  12 or 5 second lines won’t highlight her vocals be fr and no one cares about bsides btw.
206,  @princessujuaku8284," @babygurl3832  bro shut up, she has been getting the most lines in 70% of ive’s songs"
207,  @steffaisle4059,perfect liz
208,  @enhaluhvzz, @babygurl3832  girl be fr she has the second most lines in the whole discography 
209,  @user-bg1iv6ge6f,리즈 원래도 잘하는거 알았는데 이번에 더 안정감생기고 라이브도 더 잘하네ㅠㅠ 음색 너무 좋아
210,  @mac-hs1xu,유진이 빌드업 없이 바로 that's life  오진다...헐..3옥솔을 그냥 때려버리네...
211,  @user-ok6em4nb3b,유진이같은 보이스가 고음 잘해버리는게 진짜 소름. 개짜릿함!
212,  @user-ne5oe3yr9q,진짜 ㅇㄱㄹㅇ... 빌드업도 안하는데 3옥솔을 어떻게 바로 올리지 진짜 명창강쥐 안뉴진ㅠㅠ 너가 짱이야 유진아
213,  @user-yv4fd7ft9e,이서 너무 대견하다 유진 리즈는 진짜 역시는 역시다
214,  @user-ug5qg7wm8m,파트분배 걍 이대로 가라 이서 노력한게 너무 잘보여서 예쁘다리즈 유진은 뭐 말할것도 없네
215,  @user-ht1jx6gi9e,아이브 데뷔 초떄보다 엄청 늘었음.. 이번에 고음파트를 유진이랑 리즈 줘서 더 나은거 같음 앞으로도 계속 이렇게 가자 울 애기들..
216,  @user-jv6es5wk6o,"유진,리즈 고음 미쳤다,,원영이도 음색 개져아,,"
217,  @user-jd1ef8wq4s,유진이 리즈는 잘하는거 알았지만 보면 볼수록 이서 장난아니다...
218,  @jeongpungha6592,"Really love Wonyoung‘s deep voice,it’s awesome"
219,  @esfj8969,리즈 유진은 항상 탄탄하게 잘하는데  이서 많이 늘었다
220,  @user-ry4nc9ii6i,안유진 혼자 몇 인분을 해내는 거임 ㅋㅋㅋㅋㅋㅋㅜㅜㅜ 진짜 너무 잘한다
221,  @2_10_7,와 리즈 유진 이서 폼 미쳤다 성량
222,  @DT-fm9bp,2:13 이서파트부터 안유진 fly up 고음 대박
223,  @ppppp795,"곡도, 메시지도 너무 좋고 노래도 너무 잘 한다. 춤추면서 표정연기 하면서 카메라 신경쓰면서 바뀐 동선 커버하면서. 아이돌은 아이돌 나름의 음악을 한다고 생각한다. 대견하네 진짜. 딸뻘보다도 어린데 너무 예쁘고 장해서 하루 종일 보고있음."
224,  @user-ud4op2cr5e,노래가 뭘 잘하는거임
225,  @ppppp795, @user-ud4op2cr5e  잘한다고 해줘요. 무슨 콩쿨대회하는 거 아니잖아요. 저 정도면 잘하지. 애들이 어려서부터 무대 서려고 뼈를 깎아 준비해온 거를 꼭. 쟤들 발치에도 못 닿는 애들 투성이고요. 스타성이 있으니까 저 치열한 경쟁구도에서도 살아 남는 거고. 가창력있는 가수 노래 듣고 싶으면 딴 가수 들으면 되시죠. 수잔 보일 들으시면 되겠네.
226,  @user-ud4op2cr5e, @ppppp795  이쁘니까 뜨는거조뭐 ㅋ
227,  @user-ud4op2cr5e, @ppppp795  이쁘거나 춤만 중요합니다 k pop은ㅋ 진정 노래는안보조
228,  @user-hy1kk3by2r,후렴 리즈가 자기 파트 아니어도 다 부르네 파트많아진거같아서 좋다
229,  @emzarox55,"Considering how high this song is, and the dance to keep up with the choreography, they all did so well! Love this song and IVE!"
230,  @-zunaid2124,The vocals for vocaling for sure  Liz is always killing the stage.
231,  @Fubaoong,안댕댕 진짜 고음뭐야..깔끔 그 자체다 리즈는 진짜 독보적음색
232,  @user-fq4qx5ih5e,고음이 아니라 소리지르는겁니다
233,  @loveeknowhwang7307,liz and yujin carrying the group  leeseo is also improved so much omg 
234,  @longlongx2,와 처음에 노래 듣고 고음부분 시원시원해서 좋긴한데 너무 높은거 아닌가 걱정했는데 안유진 미쳤따 걍 흠잡을데가 없네
235,  @heewonJ-ys2og,다 유진이었음 하이라이트는 진짜 수지보는거같음
236,  @max4599dd,이서리즈유진 진짜 잘한다... 가을 분위기 미쳤고...장원영 너무 이쁘고 ...레이어디가쪙 ㅜ
237,  @ABCD-10,이번곡 진짜 파트분배 잘한듯
238,  @user-el5ei6zb1k,안유진 리즈 이서가 라이브 젤 잘함 진짜
239,  @user-zp3ou9vb8v,리즈는 진짜 미쳤다
240,  @LSDcom,이서야 진짜 많이 늘었다 !! 오구오구 이서야 언니가 많이 애껴 🩷 이번 아이엠 곡은 가을 리즈 이서가 빛나네 우리 원영이도 말할것도 없이 예쁘구 🩵
241,  @MOnanu11,애들 실력 진짜 많이 늘었네이제 음방에서 라이브 까지 하구이번에는 애들 음색 이랑 저음 고음 잘  체크해서 나눠준듯화이팅!!아이브
242,  @user-vz2gk9sh2z,우리 이서아가 많이 늘었다ㅠㅠㅠㅠ감동적이야 미래가 더 기대되는 우리 이서 잘하고있어!!!! 지원이랑 유진이는 말모말모 ㅠㅠㅠㅠ
243,  @LOVE486m00m,역시 리즈 라이브 짱~~젤 안정감 있음 .. 
244,  @grow3384,리즈 진짜 후덜덜하다. 노래실력에 가려져서 그렇지 비주얼 멤버로도 탑임.
245,  @idajohansson6921,Wonyoungs improvement <333 So proud of her! And Liz’s amazing vocals as usual
246,  @MeMe-hs3wg,"1:18 wow I love Leeseo voice in here, sound so good "
247,  @MeMe-hs3wg,"Leeseo have improved a lot, Yujin and Liz are always doing great"
248,  @LalChisobelliaPaPaPoJam,여태 리즈는 지르는것보단 음색 위주로 보여주길래 지르는건 못하는건가 했는데 너무 잘하잖아..?
249,  @user-xq8sk2uz5b,느끼한장원영 은퇴하시기바람니당 ㅎㅎ
250,  @user-hm5or2xb8g,지르는 거는 안유진이 상대적으로 더 많이 보여줘서 묻히긴 했는데 리즈도 진짜 잘하는 듯
251,  @user-qm4hf7cl1j,유진은 잘하긴하는데 고음에서 확실히 불안해보이고 안 깔끔해보임
252,  @user-nm9ki6pc5j,​ @user-xq8sk2uz5b 장원영 악플 달고 다니는거봐 인생 수준보인다ㅠ
253,  @user-cz7mu1je7f,로얄에서도 지르긴 했어요
254,  @sihyun._.,​ @user-qm4hf7cl1j  아이즈원 때 고음하는 멤버가 아니였는데 아이브 들어가고 리즈 받쳐줄 멤버가 필요하니까 어느정도 보컬이 돼있는 유진이 맡게 된 느낌.. 어쩔 순 없지만 조금씩 더 단단해지는 거 같아 보여서 기대되네요
255,  @ElEl_LOVEs, @user-nm9ki6pc5j ㄹㅇ
256,  @ElEl_LOVEs, @user-xq8sk2uz5b ㅇㄹㄴ 장원영 안유진 없었으면 아이브 망했음 장원영 악플은 왜다는거야 촌스럽게 ㅠㅠ
257,  @mira-sz8nm,Yujin killed that high note at 2:21
258,  @cathalrox101,Leeseo surprised me!! I knew she was incredibly talented but she barely skipped any parts!! She has such a bright future ahead of her️
259,  @user-iv1bk1lj7x,가을 언급 없는데 이제까지 힘없다 했는데 이번에 힘 빡세게 라이브 잘들린다
260,  @junsupark3696,리즈 음색 진짜 좋네 유진이랑 둘이서 고음을 자신감있게 불러서 보기좋다 나머지 맴버들도 다들 좋아진 듯
261,  @Bong_e,리즈 유진 이서 라이브 열심히 하는거 너무 예쁘다 특히 리즈 음원이랑 똑같아서 놀람..역시 우리의 메보 깜냥이 +요즘 지원이 미모 미쳤어..🫢
262,  @hdilmerouane380,leeseo trying to sing live is so satisfying she really really improved ️
263,  @user-py1nk4yw6q,라이브 진짜 늘었네요 완전 잘함
264,  @CindyWang1118,Leeseo進步超級多耶變得比較敢唱而且唱得更清楚、更有力了！
265,  @user-le5dc7zu8u,후렴전에 아윌펄어웨이랑 댓츠마이가 너어무존나게 높아서 그렇지 뒤에 플라이업 여기도 개높은데 유진이 너무잘한다 후반이라 춤찰텐데 호흡이 짱짱하네
266,  @sweet_090,"와 리즈랑 이서, 유진은 진짜 잘한다.. 그냥 멤버들 다 노력하는 모습 좋다 ️️"
267,  @wobbly4674,Liz dance with full energy and still has that stable voice and I am proud that leeseo didn't fear to perform live she did really good
268,  @ism7050,아이브는 믿을만한 메인보컬이 없는줄 알았는데..  생각보다 리즈라는 멤버  든든하네..
269,  @sally0830,리즈는잘하더라구요
270,  @user-le5dc7zu8u,유진이도 메보급임 유진리즈 투메보
271,  @user-bw9yt5nb1o,"I am 진짜 높은데 열심히 부르려고 노력하는게 보인다....(리즈,유진 고음 폼 미쳤다♡)"
272,  @user-ig4bk5if2i,리즈가 정말 잘 하는 건 알았지만 들을 때마다 정말 놀래는 것 같다 연예계 활동 힘들겠지만 뒤에서 열심히 응원하는 사람이 많다는 것 꼭 알아주고 힘냈으면..️️
273,  @jaego149,춤 추면서 쉽지 않을텐데 대단하다~
274,  @user-md9rl4pf7h,아니 유진 리즈 저런 빡센 춤추면서  고음 지른거 깔끔하고 멋있다  개멋있다
275,  @user-xh3vq7ke8v,원영이랑 이서 노력 많이 했네🥹그동안 힘들었을 텐데 꾹 참고 활동 해줘서 넘넘 고마웡 우리 짱이브 이번 활동도 대박나게 열심히 하장!!그리고 컴백 할 때마다 컨셉이 다 잘 어울려서 넘 이뽀🩷아이브 사랑하고 아이팅!!너~~무 사랑해🫶🫶
276,  @kdso2111,원영이가 무슨 노력을 함?ㅋㅋㅋㅋㅋ
277,  @mysticoncedive,They sounded great! They even sang most of their parts. Proud of them 
278,  @Misilsaejoo,2:27부터 팍 터지는거 진짜 기승전결 완벽하다 보컬실력까지 받쳐주니 진짜 역대 아이브 노래중에 젤 좋음
279,  @jsh1976,자신감이 100프로를 향할 그룹같음... 자신감만 100으로 갖추면 그누구도 못겨눌것같은데 앞으로 다 표출했음좋겠다 노래도 너무좋고 안무도 너무좋소 비주얼도너무좋고 그모든면에서 완벽하니 나잘났다고 막 더 표출했으면 좋겠음 이번 컴백무대로 자신감이 확오른것같아서 넘보기좋음
280,  @2FullMoons,"They sound really good, the song is not easy at all and they are dancing too. I am so proud of them. Leeseo you’re doing so good, not many are pointing that out and I wanted to. "
281,  @misshallel1187,"Amazed at Leeseo and Gaeul's improvement, their voices are becoming more confident and stable than before. And wow, Yujin and most esp Liz! Amazing comeback!"
282,  @user-fj7kj9kw7x,유지니랑 리즈 너무 잘하구 이서 진짜 많이 늘엇다 !! 가을이도 그렇고!! 노력한 흔적이 보여어어~~ 고생했어 앞으로도 승승장구 하쟈구~~
283,  @yenlinhtran7376,Wony's low tone is so addictive
284,  @steves1048,It's so great to see them singing live even though it might not sound perfect there is something about Live vocals
285,  @user-dd3sn6cp7q,유진이랑 리즈는 원래 잘하고 이서가 엄청 늘었네~ 열심히하는 모습 너무 예쁘다 이서 
286,  @user-jc5un8nh7n,이서보컬 되게 매력있음 애기가 넘잘해
287,  @ruum9,"Leeseo has a really loud and stable voice, good job girl c:"
288,  @boss_babyi,"they're really singing live very well, I can hear their breath , they prove the haters wrong"
289,  @user-px2bj3zr4r,"리즈,유진,이서 진짜 잘한다"
290,  @kimssu700,리즈 진짜음색도 좋고 노래넘잘해서 ㅜㅜ 좋다
291,  @user-ym2id8bq4y,"이서랑 리즈 너무 잘부르는거 아냐?증말 다이브 할수 밖에 없는,,,"
292,  @ninyodo,유진아 진짜 음 뒤집어지지도 않고 제일 안정적이다 ㅜㅜ 천재갱얼지 행복해야해
293,  @cursedtortilla101,Props to IVE for singing super high notes live!
294,  @user-uk9jx5rb6v,좌우반전 됐는데도 다들 이렇게 예쁜 게 믿기지 않음 
295,  @user-sn7ll1xu4b,예쁜 애들은 좌우반전해도 예쁘더라구여..
296,  @user-ds5dd3uu1w,유진이 That's my 춤추면서 하기 어려운 극 고음파트라 당연히 립싱크일줄 알았는데 진짜 잘한다 열심히 하는 모습 너무 예쁨 언니팬은 또 우쮸쮸 
297,  @ivebptwicetheholetrinity3466,They sang live quite well esp leeseo wtf? She improved so much
298,  @EKA_HELLOW,LIZZZZ STABIL BANGET EMANG ️
299,  @Q_nodiggity,1:15 1:40 2:14 이서 약간 카라 지영양처럼 보컬 탄탄하게 성장할 바이브가 보임… 소리 앞으로 잘 내는거봐.. 진짜 앞으로가 너무너무 기대된다 이서야ㅠㅠ
300,  @zeezee-hv1gt,"as expected, liz doing high notes effortlessly. yujin sooo good for hitting that fly up. gaeul and leeseo did a really good job too for singing that live. i really like wonyoung's deep voice. also the way their voices blended so nice at the end "
301,  @imnameim_ood,와 안유진 진짜 미쳤다
302,  @NayNaySoo,리즈랑 유진은 확실히 잘하구 이서도 애기인데 잘하네요!! 가을양은 높은 음역대는 안맞는데 역시 랩은 듣기 좋네요
303,  @ricardoreyes2148,Liz and Yujin powerful vocals Léeseo improved a lotGaeul rap 
304,  @user-yk6ht6jy5k,다 전체적으로 라이브 많이 늘어서 좋다ㅜ특히 이서가 진짜 많이는거 같음.. 유진 리즈는 원래부터 믿고있었구 원영이도 많이 늘었고 넘좋다아 레이는 빨리 나으면 좋겠다ㅠㅜ
305,  @redcoach662,와~ 들으면 들을수록 노래에 칼 길고 나온듯. 다들 왤케 가창력이 훌륭하지? 외모도 가창력도 레전드다.
306,  @kamxiw,"Я в шоке от вокала Юджин и Лиз!  У них самые стабильные голоса в ive. Стоит также отметить Лисо, сразу заметно что у неё улучшились навыки в пении."
307,  @hyeyoon0514,나중에 앵콜이 기다려진다...!! 유진이랑 리즈는 원래 잘했고 이서랑 가을고 잘하구... 원영이도 진짜 많이 늘었다️️
308,  @94nanachan,Please please recognise Leeseo too. She is carrying Rei's part so so wellllll
309,  @Yokiiiyok,"Liz , Leeseo , Yujin are stable and real voice. I proud of them."
310,  @cocobi79able,귀여운 레이도 얼른 호전돼서 나왔으면 좋겠네요. 아이브 노래는 늘 처음 듣는 순간부터 귀를 사로잡는 매력이 있어요. 화이팅입니다~
311,  @jerikoiese6150,y’all expect them to sing everything? THE NEED TO BREATHE let alone dance at the same time! go ive go! 
312,  @chae-lis,"It's understandable they didn't sing the hardest parts, it's really hard. My girls slayed "
313,  @zeilo7432,"lesseo, yunjin, liz killed me "
314,  @noleyn2557,Leeseo is improving a lot!! She will be one of the greatest singers of her generation in a few years.
315,  @be-bw3ci,이서 가을 진짜 많이 늘었다 진짜 최고
316,  @gerezafeliciamaybongaresrm2932,"Liz, yujin, gaeul and leeseo are doing great there vocals have improve  Rei please get well soon"
317,  @user-id5dt8wv1g,유진이 노래 춤 외모 아이브 탑이다가수는 무대에서 실력이 있어야 돋보인다
318,  @misteryemisterye,"Yujin, Liz, and Leeseo's has the most stable vocals."
319,  @Mathlb-4,"Like I said in yesterday's stage and today also, I'm so impressed with Yujin singing the entire chorus! Definetely compensates her I'm on my way part that she skipped (understandable btw) and her 123123 fly up omg!!, also Liz singing with her in the chorus and her highnotes as well are amazing"
320,  @user-lq4ok9gk2h,Everybody is a good singer
321,  @Quon,Kim Ji Won！！ Her vocals are out of this world 
322,  @engene147,이서도 진짜 잘한다;;
323,  @pham-65,안유진김지원 개미쳣다ㅋㅋㅋㅋ여러분 아이브 라이브 개잘해요 이서는진짜 많이늘고 원영이도 ㄹㅇ 잘들리고 갤이도 랩딕션 개미쳤고... 오ㅏ....이서진짜 개잘들린다.. 미친..
324,  @miagaswara6042,"Wow Liz’s voice, so stable! I’m a fan!"
325,  @shrey5973,This is the reason liz should get more lines cuz look at her slaying those notes effortlessly
326,  @user-qv3fm1hq1e,이렇게 높은 곡을 이정도 부르는거면 잘한다고 해주자.. 진짜.. 노래 너무 좋아ㅜㅜ
327,  @Shut_Up,LEESEO YUJIN AND LIZ KILLED IT
328,  @user-dm5tk1tg2r,"후반 갈수록 다 잘불러지는 거 아이브 국룰..뒤에 소리 빵빵해서 조음이서도 많이 늘었고 리즈는 고음보단 음색이지만 보컬주축,유진이는 고음,탄탄 이라서 리즈랑 유진이 i am파트 많이 준거스타쉽 칭찬해(이상 타팬)"
329,  @garonelane8525,안유진이랑 리즈는 진짜 잘하고 이서는 발전 가능성이 보인다 진짜 훨씬 좋아졌네 전보다
330,  @shadovao8704,Yujin and Liz are holding this group together vocally but Leesoo wasn’t bad either
331,  @desrianaputri1635,liz and leeseo did really well~ also yujinie too
332,  @maeum_maeum,"I love how leeseo just says the ""deja vu"" part in a deeper tone"
333,  @yona2195,"유진이가 진짜 성장 많이 했네 노력한게 보인다. 리즈. 이서는 자기 할 몫을 하고 있고 근데 아직 엠알을 많이 틀고, 가을이는 노래가 아직 국어책읽고, 장원영은 파트는 다른 맴버들이 품앗이해주네"
334,  @user-tk4eg6cn7m,イソちゃんどんどん歌上手くなっててすごい
335,  @user-zy8il6he4k,리즈 이서 유진이 대박이다... 진짜
336,  @kangjijijiyeon,"LEESEO, LIZ AND YUJIN DID A GOOD JOB GAEUL AND WONY TOO THEY ALL IMPROVED SM"
337,  @user-xt1ys1il3i,와.. 다들 라이브 잘한다ㅏ 역시 짱이브 워뇨도 잘하고  이서도 레이파트 소화하는거 쉽지 않았을텐데 너무 다 잘한다  레이는 아프지 않도록 ㅜㅜ 화이팅!
338,  @user-ez5kp1tz2o,리즈 성량 미쳤다
339,  @rahafl9606,All of them dis great job iam proud of them specially leseeo 
340,  @nicollepelegrina4413,Yujin y Liz están cantando debajo de las demás miembros en el coro. Es increíble. Ellas cargan con este comeback
341,  @user-yi6ol1iw3y,하 리즈ㅠㅠㅠㅠ 노래 진짜 잘한다ㅠㅠㅠㅠ음색도 좋은데 노래도 잘해ㅠㅠㅠㅠㅠ솔로곡 내도 될정도인데 내주라ㅠㅠㅠㅠㅠ 유진이도 노래 잘한다ㅠㅠ
342,  @clear_weather,와 진짜 잘한다 리즈유진이  그리고 이서 대박! 지금 몇번째 보는지모르겠음
343,  @user-mmmjjj,유진 리즈가 후렴 깔끔하게.잘부른당 
344,  @sunghanbella,i just absolutely LOVE Liz’s voice
345,  @MeMyselfI123,"Even if they aren't that well vocally trained (only Liz supports), they're insanely well while singing live. Especially Leeseo & Liz are extremely good!! But all of them did a really great job."
346,  @user-kv6yx1yk6t,가을이 라이브 제일 못한다고 생각했었는데 노력 많이 하긴 했네 랩파트때 상체 움직임이 많아서 힘들겠다 싶었는데 어제도 그렇고 잘해줌개인적으로 컴백때마다 얼굴도 조금씩 이뻐지고 자기관리도 원영유진 버금가게 잘하는것같아서 눈길 많이 갔는데 이렇게 조금씩 성장하는 모습 보니까 더 이쁘다 현재에 안주하지 말고 보컬적인 부분에 조금더 욕심을 냈으면 좋겠음 더 많은 인기를 누릴 자질이 있어보임
347,  @user-lx9ls1ek7v,ㅇㄱㄹㅇ 그것도그렇고 춤도 원래 뚝딱이같던데 본인 무대에선 티안나게 잘하는것도 신기함ㅋㅋㅋㅋㅋㅋㅋ 보통 데뷔곡이 준비기간 길어서 다 잘추고 다음컴백부터 못추는 멤버들이 드러나던데 항상 잘춤...
348,  @121...,​ @user-lx9ls1ek7v  가을은 원래 춤멤이였는데 새삥 하나 때매 못추는 이미지 된듯
349,  @Flying-Chicken,가을이 원래 잘했는데 ㅋ
350,  @user-lv4qz6qm2m,​ @Flying-Chicken  원래는 아님
351,  @sibalkkk,아니 괜히 메댄이 아닌데 새삥을 좀 안무 느낌을 숙지를 잘못했달까.. 그래서 못추는 이미지 된게 좀 아쉬움 ㅠ 가을이 앱라에서 팔돌리는거랑 o.o추는거보면 잘춤 ㅠㅠ
352,  @user-rf4jt4pw4k,와 유진이 노래 개잘부르구..리즈 이서 성량 미쳤는데 개잘부르고 .. 가을 원영 노력 진짜 많이 했다..ㅜㅠ 특히 원영이.. 레이는 빨리 회복해서 얼굴 비춰줌 넘 좋겠다아ㅜㅠㅠ아이브 라이브 너무 잘했어 :) 악플러들 참교육 가보자구우
353,  @Whatthafuck13,가을 원영은 크게 어려울 파트가 없는데..일반인 선에서도 가능한 파트들
354,  @mmkhmin,그나마도 원영이는 안됨 ㅋㅋㅋㅋㅋ
355,  @user-rf4jt4pw4k, @Whatthafuck13  춤까지 추면서 라이브 하는데 저 정도면 잘한거죠 ! 원영이 저음 너무 돋보여서  본인마다 보는 관점은 다르니깐요 !히히
356,  @macmacjang8360,유진.리즈.이서.가을 맴버들 모두 열일하네요ㅎㅎ대단해욥ㅎㅎ
357,  @candy-hl2ep,리즈 미쳤다 진짜 .. 사랑해요 언니.....
358,  @mysticoncedive,Wonyoung’s bridge sounds heavenly!
359,  @user-ru5mi2kt9m,원영이 라이브 잘 들린다..! 노래 실력 늘었어
360,  @gustavocampos8926,wonyoung so stable
361,  @hearturena,Liz and yujin high notes omg my ears have been blessed this era is definitely their era argue with the wall
362,  @U_____T,작년보다 라이브 크게 더늘어난거 같아서 놀랐음.... ㄷㄷ
363,  @Love_ToFu,원영이까지 열심히 라이브 하는거 보면 진짜 열심히 연습한듯
364,  @lookhy-rc7yf,"리즈 유진 이서 진짜 잘한다.. 레이도 발성 탄탄하고 음색좋고 랩 보컬 다 소화하는데 ㅜㅜ 얼른 완쾌하길,,,"
365,  @asukatakimoto2770,"Btw YUJIN ALWAYS SLAY, NO DOUBT "
366,  @kiminonawa1725,"They're all improved and I notice in every mr removed I watch, Liz really carrying the chorus especially the ""who I am"" part, she all sung her line and her voice is really loud."
367,  @taru1566,이번에 아이브 제대로 이갈고나왔다🥹 라이브 갓벽 그자체야️
368,  @user-ux2fb9bs4f,다들 너무 잘하고 멋져요 
369,  @kissez07,Liz is great as always..
370,  @greygreen4747,리즈 메보가 안정적이네요 쉽게 쉽게 잘부름..
371,  @ikxnirx3406,유진 리즈는 뭐 원래 잘하는거 알고 있었지만.. 이서 진짜 많이 늘었네
372,  @vovollio_pax,리즈 이서 유진 너무좋다 라이브탄탄해
373,  @gheet5737,Leeseo omg I'm glad she's not lipsyncing at all and her voice is very good
374,  @galuxistar1615,"Liz, Yujin, and Leeseo live vocals were crazy stable, Wonyoung and Gaeul did really well too :D"
375,  @bpink2380,wonyoung did nothing
376,  @user-qg1lu9oi7m, @bpink2380  Can't you hear?
377,  @bpink2380, @user-qg1lu9oi7m  yes cause she didn't sing and u can't hear too
378,  @galuxistar1615," @bpink2380  Wonyoung doesn’t have a lot of lines so she only sang the first verse and the bridge.In my opinion, her first verse was a bit unstable. But she sang the bridge quite well, especially since it was towards the end of the song."
379,  @user-bm4pl1bj8e,이서 데자뷰 급발진 진짜 ㅋㅋㅋㅋㅋ 개귀여워
380,  @rose_karina_hanni,"Liz fans is maybe not as big as some member but Liz fans is absolutly adore her talent, her voice, her skill, acknowledge her as a singer that really could sing and deserve to shine the brightest while on stage"
381,  @user-yo9vn6rr2z,와우 대박 라이브네요 정말 웅장하다 웅장해
382,  @Arues_dreams_come_ture,다들 너무 잘한다 
383,  @cindyvelvet2100,"liz's voice really impressive and yoojin's voice really stable tho plus leeseo in here, she got many improved, proud of them. but why in the first verse woonyoung never sing it properly ? i heard in another mr removed, she didnt sing that part tho, but she's really stunning in reff part"
384,  @ugnelusciauskaite7282,To be honest you don't even have to remove MR because the live vocals are loud enough to hear just by ear for me at least. They did great anyway. 
385,  @user-vp5wr1pr7q,Why don’t people talk about leeseo? Her voice isn’t high but she sings really wellI want her to be praised more(Of course I know Liz and Yujin are great)
386,  @user-gr7ic4jf6k,유진 리즈는 원래 잘부르고이서랑 원영이도 노력하는 게 보인다 ㅠㅠ 가을이도 잘부르공...
387,  @AllysaElayne,"Ive been watching the MR removed lately to discover the amazing live high notes from Liz and Yujin. I am not dissapointed at all. Leeseo is really improving. I can see Gaeul sang some parts live, only rap part fully live...and as usual the princess of the group rarely projected her live vocals. I hope she can improve"
388,  @mysticoncedive,Wonyoung sang all her parts and was very audible during her bridge. She did well.
389,  @bpink2380,​ @mysticoncedive  bro you barely hear her
390,  @mysticoncedive, @bpink2380  During her first line I agree (still live but not very audible without mr removed) but I could definitely hear her loud and clear during the bridge.
391,  @bpink2380, @mysticoncedive  oh yeah I heard her whisper too during bridge
392,  @mysticoncedive, @bpink2380  Whisper? Okay…
393,  @desrianaputri1635,woww yujin's high note 
394,  @Mr1to3for,얘네들 너무 좋다..실력있는데 노력한게 보여서 너무 좋아
395,  @Maharani-ln7vu,Ive is doing very well in this comeback 🫶
396,  @kimhoang4484,I am sooo proud of you girls!!!!!!
397,  @Leesua_58385,유진 니임 하구 리즈님 보컬은 정말 믿고 들어요 ㅠㅠ 
398,  @Jinseo0918,이서도 라이브 짱 잘하는데 왜이렇게 칭찬하는 글이 없지ㅠㅠ 가성 쓰는 파트 때문에 그렇지 그거 빼면 성량도 유진이나 리즈랑 비슷한딩...갓기 사랑해
399,  @choih0112,가을양한테 눈길이 자꾸 가는게 랩도 잘 하지만 보컬도 노력하는지 전보다 잘해가는듯~ 춤도 전에는 특이하게 춰서 눈에 띄었는데 자신있게 추는 모습이 항상 맘에 든다면서~ 아이브 대박나자~
400,  @abshhsnsvs197,Gaeul isn't even the main vocal but I'm so proud that she keep on improving and trying to sing live!!! Keep going gaeul!
401,  @user-yv7qm5xh4j,원영이도 실력 많이 늘었네
402,  @irenescarlet3951,"i know that liz and yujin are literally amazing bcs they are so stable despite having many high notes parts. but leeseo seriously slayed thooo. no one talked about our baby maknae  she literally sang for 2 people's parts guys and she did great already! gaeul did her best too. i mean, shes the rapper right? her rap is 100% stable but not her singing part. and we shud accept that! shes a rapper for a reason u knowww. for wony, hm i couldnt say much bcs she havent improved that much. but at least she tried. i mean we can hear her vocals at the bridge part right? whatever it is. i'm liking this song very very muchhhh "
403,  @lavienrosewon8811,Wonyoung have low notes . The reason she sing low
404,  @mysticoncedive,She has actually improved. She’s f+ now while she was f during after like.
405,  @user-wm4bf6jm6d,다들 라이브 무쳤다 춤도 격한데 열심히 하는게 너무 보기 좋아요...진짜ㅠㅠ  유진 원래 잘했지만 더 늘어서 고음도 시원하게 잘부르고 리즈는 노래 나올 때마다 갱신하네...자기 파트도 높은데 단체파트까지 제일 존재감있게 소화하고...솔로 너무 보고싶다규...원영은 진짜 음색도 이쁘고 미모 무슨일이냐구 이번 헤메코 짱이라구...잘하고 있으니까 항상 자신감 가지고 라이브 하면 좋겠다 가을선배 룩엣미룩엣미 할때 존멋 이번에도 찰떡같이 소화했다 전보다 쫀뜩쫀뜩하게 랩해서 좋아요 그리고 이서 성량 무슨일이야 노래 너무 잘불러 황금막내다 증말 마지막으로 레이 너무 보고싶어ㅠㅠ 다른 멤버들이 열심히 빈자리 채워주고 있지만 레이 없으니 좀 허전하다규ㅠㅠㅠ 얼른 건강 회복하고 같이 무대 하자
406,  @linhha5275,Yujin and liz did it so well
407,  @lilacvortex7428,Liz really be doing those high notes with a smile on her face. 
408,  @l_on186,Liz stable as usual... killed it!
409,  @liziwon,Vocalnya liz sama yujin gila parah sih keren banget!
410,  @linarahim5465,Betulll
411,  @agatahighstein9431,"1:10 Liz absolutely phenomenal, heavenly, gorgeous! She sounds exactly like the studio version. Maybe even better."
412,  @user-kk5rl4b3,리즈 진짜 잘한다
