아이디,한글,교정된한글,label
  @user-ks1bi9cs4k,하도 리즈 실력좋다길래 리즈가 유진보다 잘부르는줄 알았는데 들어보니 유진이 원탑이네 리즈가 못부르는다는건 아닌데 유진은 춤노래예능 못하는게 없는 만능캐,하도 리즈 실력 좋다길래 리즈가 유진보다 잘 부르는 줄 알았는데 들어보니 유진이 원탑이네 리즈가 못 부르는다는 건 아닌데 유진은 춤 노래 예능 못하는 게 없는 만능 캐,1
  @LalChisobelliaPaPaPoJam,음원으로 들으면 리즈 목소리가 더 귀에 달라붙긴 하는데 라이브는 유진이 더 안정적인듯,음원으로 들으면 리즈 목소리가 더 귀에 달라붙긴 하는데 라이브는 유진이 더 안정적인 듯,1
  @ohsun1,엔믹스 빼곤 다 거기서 거기구나,엔믹스 빼곤 다 거기서 거기구나,0
  @Nuclear_Launch,응 망돌 ,응 막돌 ,0
  @ohsun1,헉 짱돌,헉 짱돌,1
  @RH_-vi9yj,엑믹스랑 스테이씨 정도 살아남았네,엑믹스랑 스테이시 정도 살아남았네,0
  @cho921004,노력한 모습이 보인다,노력한 모습이 보인다,1
  @user-yh8ou1pi5q, 유진님 갤럭시 헛바닥 매번, 유진님 갤럭시 한바닥 매번,1
  @lsblue.,이서야,이서야,1
  @user-gc2ye6xw4z,워뇨 실혁많이늘었닿,원뇨 실혁많이늘었닿,1
  @chihi201,노래는 리즈가 부르는데 센터는 왜 다른사람이 서지,노래는 리즈가 부르는데 센터는 왜 다른 사람이 서지,0
  @iridscentcersent277,후렴 원래 다같이 부르는 파트 아니었낰 이 정도면 걍 후렴도 리즈 유진 파트인데  마지막  아이엠은 걍 리즈 파트고 ,후렴 원래 다 같이 부르는 파트 아니었낰 이 정도면 그냥 후렴도 리즈 유진 파트인데  마지막  아이엠은 그냥 리즈 파트고 ,1
  @ourownsummerisblue,안유진 명창토끼  ,안유진 명창 토끼  ,1
  @user-lk7qd1lm9d,후렴 거의 리즈가 다 커버치네 저럴꺼면 후렴부분 리즈도 센터로 세워주지 장원영은 후렴부분 립싱크인가 목소리가 묻히는건가 하나도 안들리네이서는 목소리가 떨리는감이 있지만 열심히 하려는게보임유진이는 말해뭘해 잘하구있다,후렴 거의 리즈가 다 커버치네 저럴 거면 후렴 부분 리즈도 센터로 세워주지 장원영은 후렴 부분 립싱크인가 목소리가 묻히는 건가 하나도 안 들리네 이서는 목소리가 떨리는 감이 있지만 열심히 하려는 게 보임 유진이는 말해 뭘 해 잘하고 있다,1
  @l______l,안유진,안유진,1
  @lcomma87,가을은 진짜  평가조차 없네 ,가을은 진짜  평가조차 없네 ,0
  @ppghp2115,셋이 부르는 노래에 다섯이 추는 춤,셋이 부르는 노래에 다섯이 추는 춤,0
  @user-gh3st3xv5q,전체적으로 많이 늘었네 연습 많이 했나 보다,전체적으로 많이 늘었네 연습 많이 했나 보다,1
  @vetzyxx4475,역시 리즈네,역시 리즈네,1
  @setny2863,전체장원영파트 걍 유진이가 다부르는데 장원영은 붕언가 입만 뻥끗뻥끗 나머지멤버가 다 라이브하니 혼자 립싱크 확 튀네,전체장 원영 파트 그냥 유진이가 다 부르는데 장원영은 붕언가 입만 뻥끗 뻥 끝나 머지 멤버가 다 라이브 하니 혼자 립싱크 확 튀네,0
  @Nuclear_Launch,노래가 계속 고음역대라서 존나 어려움,노래가 계속 고음역대라서 존나 어려움,1
  @user-ey8qp6bd3x,장원영 파트 개적네 이번에  이게 맞지 근데 노래는 안유진이 부르는데 왜센터에있냐 ,장원영 파트 개적 네 이번에  이게 맞지 근데 노래는 안유진이 부르는데 왜 센터에 있냐 ,0
  @user-du3rc4mq5y,후렴 부를 실력은 안되는데 비쥬얼때메 센터는 세워야겠고,후렴 부를 실력은 안되는데 비주얼 땜에 센터는 세워야겠고,0
  @cherishbe2871,장원영 포지션이 비주얼센터인데 뭐 어쩌라는겨,장원영 포지션이 비주얼 센터인데 뭐 어쩌라는 거야,1
  @wonderland_well,그런데 후렴구는 원래 유진 혼자만 부르는 건가요  고음 부터 유진 목소리만 계속 들리는 거 같아서요 간간히 리즈 목소리도 들리는데 단체 부분이 아니고 유진리즈만 부르는게 원곡도 그런건가요,그런데 후렴구는 원래 유진 혼자만 부르는 건가요  고음부터 유진 목소리만 계속 들리는 거 같아서요 간간이 리즈 목소리도 들리는데 단체 부분이 아니고 유진 리즈만 부르는 게 원곡도 그런 건가요,0
  @user-kr2yg3cn1c,녹음은 다같이했는데 라이브는 리즈유진빼고 다 립싱크하네요  역량이 안 되는듯,녹음은 다 같이했는데 라이브는 리즈 유진 빼고 다 립싱크하네요  역량이 안 되는 듯,0
  @user-le5dc7zu8u,댓츠마이 그거는 원래 유진이 파트임 그 뒤에 후렴은 떼창,댓츠 마이 그거는 원래 유진이 파트임 그 뒤에 후렴은 떼창,1
  @wonderland_well,네 댓츠마이라이프 그 이후에도 똑같이 특정 멤버 목소리만 들린다는 얘기입니다,네 댓츠 마이 라이프 그 이후에도 똑같이 특정 멤버 목소리만 들린다는 얘기입니다,1
  @user-sy6wx5qp4w,그나마 유진 이서 리즈는 부르러고 노력하는 것 같은데 다른 멤버는,그나마 유진 이서 리즈는 부르러고 노력하는 것 같은데 다른 멤버는,0
  @user-lx9ls1ek7v,개자래 진짜로,개 자래 진짜로,1
  @user-lx9ls1ek7v,그나저나 이서 데자뷰 급발진 볼때마다 귀엽네 어제보다 힘 더준거 개웃김,그나저나 이서 데자뷔 급발진 볼 때마다 귀엽네 어제보다 힘 더 준거 개웃김,1
  @user-ie4hd9wm3j,방송에서 모두이면 모두이지  원영모두은 뭐임 후렴 고음에서 리즈 소리만다들리던데 유진 모두은 이해감 그부분은 유진 이서는 잘불러서인지 리즈가 자기목소리 죽이는거같은데 원영 부분들은 다 리즈소리만들림,방송에서 모두이면 모두이지  원영 모두는 뭐임 후렴 고음에서 리즈 소리만 다 들리던데 유진 모두는 이해감 그 부분은 유진 이서는 잘 불러서인지 리즈가 자기 목소리 죽이는 거 같은데 원영 부분들은 다 리즈 소리만 들림,0
  @iiiqiq26,음방에서 자막 잘못 단거임 거기 원영 파트아님,음방에서 자막 잘못 단 거임 거기 원영 파트 아님,1
  @Forever4Uu, 다른 아이돌들도 첫 주 첫 방은 다 에이알 깔고 하지 않나 실력파라고 하는 아이돌들 엠알 제거에서 안들리면 다 첫 주는 에이알 깔고 한다고 쉴드 쳐주더니 왜 아이브한테만 이렇게 엄격함, 다른 아이돌들도 첫 주 첫 방은 다 에이알 깔고 하지 않나 실력파라고 하는 아이돌들 엠알 제거에서 안 들리면 다 첫 주는 에이알 깔고 한다고 실드 쳐주더니 왜 아이브한테만 이렇게 엄격함,1
  @9ljsw0,다같이 에이알이면 그냥 보겠는데몇몇 멤버들만 너무 티나게 라이브 하니까,다 같이 에이알이면 그냥 보겠는데 몇몇 멤버들만 너무 티 나게 라이브 하니까,0
  @keatonss8967,장위엔잉 안 부르는 거 봐라 ,장위엔잉 안 부르는 거 봐라 ,0
  @user-he6jq6mu3m,아니 리즈뭐임 개안정적이야,아니 리즈 뭐임 개안 정적이야,1
  @BBoeun._.,혹시 단체파트때 장원영 님 목소리 들리나요,혹시 단체 파트 때 장원영 님 목소리 들리나요,0
  @etudechopins6429,본인파트에서도 안하는데 뭘,본인 파트에서도 안 하는데 뭘,1
  @user-ir4zl9wl8i,팔짱끼고 근엄한 척 앵콜 보면 알겠지 이러는거 역겨움  첫주 에이알 공식도 깨고 라이브 했더니 꾸역꾸역 트집잡는 꼬라지 본인 인생이나 그렇게 열심히 살피고 사세요들,팔짱 끼고 근엄한 척 앙코르 보면 알겠지 이러는 거 역겨움  첫 주 에이알 공식도 깨고 라이브 했더니 꾸역꾸역 트집 잡는 꼬락서니 본인 인생이나 그렇게 열심히 살피고 사세요들,1
  @Roh_Heung_Min, 지들한테는 한없이 관대하면서 아이브한테는 엄격진지, 자기들한테는 한없이 관대하면서 아이브한테는 엄격 진지,1
  @user-nf5ul7gf7n,기껏 라이브 했더니 꾸역 꾸역 트집 잡는다 하시는데 지금 꼬라지 잡히는건 워뇽이 밖에 없어요 사람들 다 한결 같이 하는 말이 잘하던 못하던 부르기라도 해라 이거 잖아요 가을이 꼬라지 잡힌 댓글 봤어요 잘하던 못하던 부르긴 불렀으니까 사람들이 안 걸고 넘어가잖아요 명 중에서 소리 안들리는거 원영이 밖에 없어요,기껏 라이브 했더니 꾸역 꾸역 트집 잡는다 하시는데 지금 꼬락서니 잡히는 건 워뇽이 밖에 없어요 사람들 다 한결같이 하는 말이 잘하든 못하든 부르기라도 해라 이거잖아요 가을이 꼬락서니 잡힌 댓글 봤어요 잘하든 못하든 부르긴 불렀으니까 사람들이 안 걸고 넘어가잖아요 명 중에서 소리 안 들리는 거 원영이 밖에 없어요,0
  @Iroha_1025,네 댓 전적보면 속 훤히 보인다  이서도 낮은 파트는 잘 안들리는 거 모르겠음 당연히 높은 파트인 리즈 유진이 훨씬 잘 들리겠지  막귀임 첫주에 라이브 운운할 거면 네컷 라이브나 보고 오던가 ,네 댓 전적 보면 속 훤히 보인다  이서도 낮은 파트는 잘 안 들리는 거 모르겠음 당연히 높은 파트인 리즈 유진이 훨씬 잘 들리겠지  막귀임 첫 주에 라이브 운운할 거면 네 컷 라이브나 보고 오던가 ,0
  @user-nf5ul7gf7n,아니 제 댓 전적이 어떻길래요 제가 뭐 욕이라도 씨부렸거나 악플이라도 달았나요  진심 궁금해지네 안그래도 한 삼십분전에 네컷 라이브 뜨길래 봤습니다 거기선 다 잘하더라구요 근데 그렇게 잘 할 수 있는 애가 정작 무대에선 노래를 안부르네요 열심히 부르는 척만 하고 양사이드로 노래 부르는 애들은 따로 있고 클로즈업 받으면서 표정연기 하는 애 따로 있고 가수한테 삑사리가 나건 어쨌건 노래 좀 불러달라는게 큰 죈가 춤때문에 힘든거면 발라드가수가 됐어야지,아니 제 댓 전적이 어떻길래요 제가 뭐 욕이라도 씨불였거나 악플이라도 달았나요  진심 궁금해지네 안 그래도 한 삼십 분 전에 네 컷 라이브 뜨길래 봤습니다 거기선 다 잘하더라고요 근데 그렇게 잘할 수 있는 애가 정작 무대에선 노래를 안 부르네요 열심히 부르는 척만 하고 양 사이드로 노래 부르는 애들은 따로 있고 클로즈업 받으면서 표정연기하는 애 따로 있고 가수한테 삑사리가 나건 어쨌건 노래 좀 불러달라는 게 큰 죈가 춤 때문에 힘든 거면 발라드 가수가 됐어야지,1
  @user-ir4zl9wl8i,진짜 궁금해서 그러는데 왜 그렇게까지 괘씸해 하시는지 여쭤봐도 될까요 아이돌이 라이브를 하던말던 본인이 그렇게 일일히 댓글 달면서까지 개킹받아하는 이유가 뭐임 저는 이해가 잘 안되네요,진짜 궁금해서 그러는데 왜 그렇게까지 괘씸해 하시는지 여쭤봐도 될까요 아이돌이 라이브를 하든 말든 본인이 그렇게 일일이 댓글 달면서까지 개킨 받아하는 이유가 뭐임 저는 이해가 잘 안되네요,1
  @Iroha_1025,영상 올린 사람이 엠알을 너무 많이 제거해버려서 목소리 자체가 잘 안들리는 상황이기도 하고 장원영은 낮은 음역을 맡았으니 당연히 작게 들리는 게 맞는 거 아님 이서도 낮은 파트는 잘 안 들리는데 뭔 소리가 안 들려 목소리 작아도 라이브 하는 거  잘 들리는데 막귀냐고,영상 올린 사람이 엠알을 너무 많이 제거해버려서 목소리 자체가 잘 안 들리는 상황이기도 하고 장원영은 낮은 음역을 맡았으니 당연히 작게 들리는 게 맞는 거 아님 이서도 낮은 파트는 잘 안 들리는데 뭔 소리가 안 들려 목소리 작아도 라이브 하는 거  잘 들리는데 막귀냐고,1
  @user-nf5ul7gf7n, 조별과제 무임승차 느낌이라 아무래도 마냥 이쁘게 보이진 않는거 같아요 그리고 굳이 일일히 댓글 단다고 하시는데 여쭤 보신거 답글 달아준거 밖에는 없습니다 암튼 팬 분이신거 같은데 제 댓글 때문에 기분 나쁘셨다면 죄송하네요, 조별 과제 무임승차 느낌이라 아무래도 마냥 이쁘게 보이진 않는 거 같아요 그리고 굳이 일일이 댓글 단다고 하시는데 여쭤보신 거 답글 달아준 거 밖에는 없습니다 암튼 팬분이신 거 같은데 제 댓글 때문에 기분 나쁘셨다면 죄송하네요,0
  @user-ir4zl9wl8i,저는 그냥 아이브 예쁘다 노래 좋다 정도의 사람인데요 라이브 부족한게 아이브라는 조별과제에 무임승차 하는 급의 일인가요 아이브라는 그룹에서의 멤버 장원영의 가치를 잘 생각해 보시길,저는 그냥 아이브 예쁘다 노래 좋다 정도의 사람인데요 라이브 부족한 게 아이브라는 조별 과제에 무임승차하는 급의 일인가요 아이브라는 그룹에서의 멤버 장원영의 가치를 잘 생각해 보시길,1
  @user-oy9xt7vo1n,오늘은 원영 목소리 들리구만 어젠 개작았는데,오늘은 원영 목소리 들리구먼 어젠 개 작았는데,1
  @user-xq8sk2uz5b,장원영은 대체 왜저러는거임 다른멤버들은 정상인데 참,장원영은 대체 왜 저러는 거임 다른 멤버들은 정상인데 참,1
  @charlottekim8851,안유진도 잘하는데 후렴 거으 리즈가 다 부르는 거 아님,안유진도 잘하는데 후렴 거의 리즈가 다 부르는 거 아님,0
  @user-gc4yo5em8s,고음 부분 안유진이 부름,고음 부분 안유진이 부름,1
  @JH-xi2kn,안유진이랑 리즈 둘이 다 부르는 듯,안유진이랑 리즈 둘이 다 부르는 듯,1
  @user-cj2hr2rd6p,유진이랑 리즈만 부르고 나머지는 안부름,유진이랑 리즈만 부르고 나머지는 안 부름,0
  @ganZl,으잉 안유진 목소리 잘들리는데,으잉 안유진 목소리 잘 들리는데,1
  @user-le5dc7zu8u,둘다 부르구만,둘 다 부르구먼,1
  @mac-hs1xu,안유진 목소리가 더 들리는데,안유진 목소리가 더 들리는데,0
  @user-hs1gp4vd7m,댓글에 가순데 많이 늘었다  웃음벨이네,댓글에 가순데 많이 늘었다  웃음 벨이 네,0
  @user-sf3st9vz2j,아이돌은 가수아님,아이돌은 가수 아님,1
  @user-pv9wu5zv8h,파트 많이 돌라해서 많이 줬더니 이제는 다른애들이 안 부르고 리즈만 부른다고 난리치네 ,파트 많이 돌라 해서 많이 줬더니 이제는 다른 애들이 안 부르고 리즈만 부른다고 난리 치네 ,0
  @starry.starry.night.,다같이 부르는 후렴에서 리즈와 유진 목소리만 들리는듯 하고 고음 능력도 그런듯 한데요 리즈는 목소리만 내주는 느낌이고 하니 제기하는 분들도 있겠죠 보여지는 숫자로는 파트 많이 가져갔다 하지만 실질적으로 교묘한 부분이 있지요 회사 스스로 팬들이 신뢰 못하게 만든 부분이 있어서 앞으로 회복해야할 문제라고 보여지네요,다 같이 부르는 후렴에서 리즈와 유진 목소리만 들리는듯하고 고음 능력도 그런듯한데요 리즈는 목소리만 내주는 느낌이고 하니 제기하는 분들도 있겠죠 보이는 숫자로는 파트 많이 가져갔다 하지만 실질적으로 교묘한 부분이 있지요 회사 스스로 팬들이 신뢰 못하게 만든 부분이 있어서 앞으로 회복해야 할 문제라고 보이네요,0
  @user-jy5re9gc4o,하이라이트는 리즈가 다하는거 같은데 딴 애만 잡아주네,하이라이트는 리즈가 다하는 거 같은데 딴 애만 잡아주네,0
  @minuya01,킹정,징정,1
  @jeeyeon4709,노래를 리즈가 다하는거랑 같은 이치지 딴애만 잡아주는거라고 생각된다면,노래를 리즈가 다하는 거랑 같은 이치지 딴 애만 잡아주는 거라고 생각된다면,0
  @minuya01,그렇게 따지면 키치는 뮤비에 리즈만 나왔어야지  노래 안되서 파트 없는걸 별소리를 다하네,그렇게 따지면 키치는 뮤비에 리즈만 나왔어야지  노래 안돼서 파트 없는걸 별소리를 다하네,0
  @jeeyeon4709,그럼 리즈혼자 나가서 활동하면 되겠네 그룹활동 상호보완적으로 하는거지 뭔 불만들이 많은지,그럼 리즈 혼자 나가서 활동하면 되겠네 그룹 활동 상호보완적으로 하는 거지 뭔 불만들이 많은지,0
  @user-sb8zw1oh6b,여기까지 쫓아와서 바득바득 까는 거 봐 진짜 안타깝다,여기까지 쫓아와서 바득바득 까는 거 봐 진짜 안타깝다,0
  @user-sk1hz2we2e,대체 장원영 왤캐 까대는 거임 후렴 부분 안 부른다는 거 개억까  원영이 팬이면 알텐데  갤럭시랑 장르로는 이 부분 그냥 원영이 음색 그대로구만 뭘 립싱크야 ,대체 장원영 왤캐 까대는 거임 후렴 부분 안 부른다는 거 개어 까  원영이 팬이면 알 텐데  갤럭시랑 장르로는 이 부분 그냥 원영이 음색 그대로구먼 뭘 립싱크야 ,1
  @-sss102,갤럭시는 부르고 싶곸다른파트는 안되닠거기라도 부르겠짘,갤럭시는 부르고 싶고 다른 파트는 안되닠거기라도 부르겠짘,0
  @user-qh2wg1ij9q,이 아줌마는 진짜 장원영한테 질투 미쳤네 댓글을 도대체 몇 개나 쓰는거야,이 아줌마는 진짜 장원영한테 질투 미쳤네 댓글을 도대체 몇 개나 쓰는 거야,0
  @user-pw4qm5uw9m,장원영한테 집착하는거봨댓글목록 개욱김,장원영한테 집착하는거봨댓글목록 개욱김,0
  @user-jg7vo1cd8b,키큰애는 노래도 안부르는디 센터에서넴,키 큰애는 노래도 안 부르는데 센터에서 네,0
  @user-oy9xt7vo1n,들리는데 작긴해도 안 부르는 건 아니지 않나요,들리는데 작긴 해도 안 부르는 건 아니지 않나요,1
  @user-md8wm1gp1t,그래도 엠카때보단 목소리 들리긴하네 점점 늘어갈듯,그래도 엠카 때보단 목소리 들리긴 하네 점점 늘어갈 듯,1
  @user-jg7vo1cd8b,가수가 잘 들려야지요,가수가 잘 들려야지요,0
  @user-jg7vo1cd8b,비주얼원탑이긴 한듯,비주얼 원탑이긴 한 듯,1
  @user-oy9xt7vo1n,언젠 안 부른다면서요 잘 들리게 크게 불렀으면 하는 건 동감합니다,언젠 안 부른다면서요 잘 들리게 크게 불렀으면 하는 건 동감합니다,0
  @2EggSSangran, 저런걸로 정신병자까지, 저런 걸로 정신병자까지,0
  @user-jg7vo1cd8b,가수 이야기하는데 제가 키가크죠 이러는게 정상임,가수 이야기하는데 제가 키가 크죠 이러는 게 정상임,0
  @2EggSSangran,님 생각에는 정상이 아님정신병자 맞다고 생각함,님 생각에는 정상이 아님 정신병자 맞는다고 생각함,0
  @user-jg7vo1cd8b,뭔 아는척을 하고싶어하는거임 비정상에 정신병자가 포함되지 않겠음  비정상인이라고 말하길 바람 뭔데 가르치려하는거야  뭐 나보다 학벌좋아서,뭔 아는 척을 하고 싶어 하는 거임 비정상에 정신병자가 포함되지 않겠음  비정상인이라고 말하길 바람 뭔데 가르치려 하는 거야  뭐 나보다 학벌 좋아서,0
  @2EggSSangran,왜 혼자 급발진임,왜 혼자 급발진임,0
  @user-jg7vo1cd8b, 하긴 댓글부터가 논리가 안맞는데 상대한 내가  차단 , 하긴 댓글부터가 논리가 안 맞는데 상대한 내가  차단 ,0
  @user-qe6ki4wq5q,다른 애들은 괜찮은데 장원영은 그닥,다른 애들은 괜찮은데 장원영은 그다지,0
  @user-ih3sj3tz3k,리즈밖에 안들림,리즈밖에 안 들림,0
  @007O,원영이는 한결 같노 ,원영이는 한결같노 ,0
  @user-rm7bx7vk4d,장원영은 입만뻥긋거리네 파트좀줄여라,장원영은 입만 뻥긋거리네 파트 좀 줄여라,0
  @user-rm7bx7vk4d,입만 뻥긋거리길래 뻥긋거린다고 말하는게 문제인가여  센터면 꼭 노래많이 불러야더나여 그냥 얼굴마담하면안되나여  노래잘하는애가 파트 좀 많은거 보고싶다는데 부모욕하면서 급발진 오지네여 ,입만 뻥긋거리길래 뻥긋거린다고 말하는 게 문제인가요  센 터면 꼭 노래 많이 불러야 더 나요 그냥 얼굴마담 하면 안 되나요  노래 잘하는 애가 파트 좀 많은 거 보고 싶다는데 부모 욕하면서 급발진 오지네요 ,0
  @luee757,장원영은 뭐하나,장원영은 뭐하나,0
  @user-rr7df9mo3l,리즈 파트부분이 많아서 좋음키치도 좋은데 리즈 파트 초 실화임그리구 엠알제거여도 유진 리즈 이서약간만 들리고 원영이는 진짜 쪼금 들려서 립싱크하는거밖에 안보임원영이 영어발음 좋은데 안들려서 아숩다,리즈 파트 부분이 많아서 좋음 키치도 좋은데 리즈 파트 초 실화임 그리고 엠알 제거여도 유진 리즈 이서 약간만 들리고 원영이는 진짜 쪼금 들려서 립싱크하는 거밖에 안 보임 원영이 영어 발음 좋은데 안 들려서 아쉽다,0
  @user-kz6ej7wq4h,다 잘하는데직접 춤추구 불러봐,다 잘하는데 직접 춤추고 불러봐,1
  @usfneoxnwpznwj,스타쉽 리즈 파트 줄이면 진짜 안돼요 리즈 파트 늘어나니까 걍 곡 퀄이 달라지잖아 엪라에서도 리즈 하이라이트 부른거 반응 좋았는데 단체 파트에서도 리즈 유진 이서 목소리만 들림,스타십 리즈 파트 줄이면 진짜 안돼요 리즈 파트 늘어나니까 그냥 곡 퀄리 달라지잖아 에프라에 서도 리즈 하이라이트 부른 거 반응 좋았는데 단체 파트에서도 리즈 유진 이서 목소리만 들림,1
  @nopeidunusethislink,리즈 유진 이서 레이 네명으로만 그룹 재편성해라 스타쉽은 팬들 의견좀 제발 들어라,리즈 유진 이서 레이 네 명으로 만 그룹 재편성해라 스타십은 팬들 의견 좀 제발 들어라,0
  @user-mp3yh7rh2s,시끄럽다가 조용해지는부분보면 다 장씨네,시끄럽다가 조용해지는 부분 보면 다 장 씨네,0
  @OwO__,열심히하네 ,열심히 하네 ,1
  @ninyodo,유진아 못하는게 뭐야뭐야뭐야웅성웅성 뭐야웅성뭐야 ,유진아 못하는 게 뭐야 뭐야 뭐야 웅성웅성 뭐야 옹성 뭐야 ,1
  @user-fc5eb5fs8r,라이브를 해도 안했다고 우기고 직캠만 봐도 라이브 잘들리는데 엠알제거가 정확한게 아닌데 까려고 올리는듯 특정 소속사는 절대 안올리네,라이브를 해도 안 했다고 우기고 직캠만 봐도 라이브 잘 들리는데 엠알 제거가 정확한 게 아닌데 까려고 올리는 듯 특정 소속사는 절대 안 올리네,1
  @Roh_Heung_Min,하이브,하이브,1
  @user-pn4iy9vi6p,다른애들은 노래를 계속 부르는게 보여서 조금씩 느는게 보이는데 원영이는 여전하네 쬐금 나아진거 같기도하고,다른 애들은 노래를 계속 부르는 게 보여서 조금씩 느는 게 보이는데 원영이는 여전하네 쪼금 나아진 거 같기도 하고,1
  @joon7299,안유진 말고는 다 조졌네 ,안유진 말고는 다 조졌네 ,0
  @user-nb6cz7mo1f,썸네일 너무 예뻐서 보고 들어옴,섬네일 너무 예뻐서 보고 들어옴,1
  @hunibabo,애들 독기 넘친다 연말무대에서 스페셜 커버무대 립싱크 했다고 말도 안되게 까인게 얼마나 억울했으면,애들 독기 넘친다 연말 무대에서 스페셜 커버 무대 립싱크 했다고 말도 안 되게 까인 게 얼마나 억울했으면,1
  @auriha05,솔직히 아이즈원 때부터 팬이지만 좀 그렇긴 했어한번씩 한 립싱크 때문에 까일 까봐 걱정도 엄청 되고 그랬는데 겁나 까이면 진짜 탈덕하고싶고스트로베리문은 그 어려운 노래를 시킨 방송국이랑 소속사 잘못이기도 하지만그런 의미에서 이제 데뷔한 지 년차를 향해 달려가는 그룹앞으로 더 지켜보고 응원하고 믿어주고 싶다,솔직히 아이즈원 때부터 팬이지만 좀 그렇긴 했어 한 번씩 한 립싱크 때문에 카일 까봐 걱정도 엄청 되고 그랬는데 겁나 까이면 진짜 탈 독하고 싶고 스트로베리 문흔 그 어려운 노래를 시킨 방송국이랑 소속사 잘못이기도 하지만 그런 의미에서 이제 데뷔한 지 연차를 향해 달려가는 그룹 앞으로 더 지켜보고 응원하고 믿어주고 싶다,1
  @user-vt5ge7mb7x,비난이 세긴 했지만 연말무대때 립싱크 한거 말고도 평소에도 아이브 실력 부족한게 여실히 보였으니까 이번엔 라이브 잘했음 좋겠다,비난이 세긴 했지만 연말 무대 때 립싱크 한거 말고도 평소에도 아이브 실력 부족한 게 여실히 보였으니까 이번엔 라이브 잘했으면 좋겠다,1
  @Roh_Heung_Min, 하이브 개미알밥단, 하이브 개미 알밤단,1
  @user-vt5ge7mb7x,이것도 어느정도 맞는 말이긴 함 유독 아이브랑 장원영이 억까 많이 당하는것도 사실임,이것도 어느 정도 맞는 말이긴 함 유독 아이브랑 장원영이 얼까 많이 당하는 것도 사실임,1
  @auriha05,아무래도 장원영은 아이즈원 시절부터 억까가 너무 심했어서 그게 지금까지 이어지는 게 아닌가 싶다뉴진스는 언플을 잘해서 이상하게 대중픽 이미지를 가져가버렸고 이해가 안 됨 별로 대중픽인지 모르겠던데 또 버니즈가 여론조작이 심함 올려치기라던지 내려치기라던지 어그로 지능형안티인지는 모르겠는데 타 팬덤들이랑 마찰이 빚어질 때 버니즈가 엮인 경우가 꽤 있음르세라핌은 라이브 잘 하던데 모르겠다 최근에는 르세라핌 라이브 영상을 안 봐서,아무래도 장원영은 아이즈원 시절부터 얼까가 너무 심해서 그게 지금까지 이어지는 게 아닌가 싶다 뉴 진스는 언플을 잘해서 이상하게 대중픽 이미지를 가져가버렸고 이해가 안 됨 별로 대중 피인지 모르겠던데 또 버니 저가 여론조작이 심함 올려치기라든지 내려치기라든지 어 그로 지능형 안티인지는 모르겠는데 타 팬덤들이랑 마찰이 빚어질 때 버니 저가 엮인 경우가 꽤 있음르세라핌은 라이브 잘 하던데 모르겠다 최근에는 르세라핌 라이브 영상을 안 봐서,0
  @auriha05,채널 보니까 억까전문 어그로 채널이구만 그걸 믿음그리고 보니까 르세라핌 노래도 아니고 사쿠라 생일이어서 년도 더 전에 사쿠라 에이케이비시절 공연한 유명한 짤 그거 재연한 거구만제대로 찾아와보쇼 납득 되게,채널 보니까 얼까 전문 어 그로 채널이구먼 그걸 믿음 그리고 보니까 르세라핌 노래도 아니고 사쿠라 생일이어서 연도 더 전에 사쿠라 에이케이비시절 공연한 유명한 짤 그거 재연한 거고만 제대로 찾아와보쇼 납득 되게,0
  @auriha05,그리고 니가 라이브 아예 안한다매 실력이 없다고 치자 그래 그럼 라이브 안한거임 논리 되네,그리고 네가 라이브 아예 안 한다며 실력이 없다고 치자 그래 그럼 라이브 안 한 거임 논리 되네,0
  @auriha05,니가 링크 달아놓은 영상 채널 들어가서 거기 있는 영상 한번 봐 봐 진짜 평가하는 채널인지 악의적으로 영상 올리는 채널인지,네가 링크 달아놓은 영상 채널 들어가서 거기 있는 영상 한번 봐 봐 진짜 평가하는 채널인지 악의적으로 영상 올리는 채널인지,0
  @auriha05,그래그래 그런 영상에 어그로나 끌리면서 살렴,그래그래 그런 영상에 어 그로 나 끌리면서 살렴,0
  @auriha05,그냥 탈수 시녀 걸서위였구만 ,그냥 탈수 시녀 걸서위였구만 ,0
  @_Min-lg4tl,이슈가 티나게 많이 는것같아요이서 힘내,이슈가 티 나게 많이 는 것 같아요 이서 힘내,1
  @user-oc6pu4id2r,이번 활동중후반때 이서 댄스라이브 엄청늘음 리즈랑 비슷함 물론 음은 안되지만장원영은 스케쥴때문에 연습할 시간이 많이 부족했던건지 아쉽게도 그래도 다음컴백때 더 나은 모습 보여줄거라 믿음,이번 활동 중후반 때 이서 댄스 라이브 엄청 늚 리즈랑 비슷함 물론 음은 안되지만 장 원영은 스케줄 때문에 연습할 시간이 많이 부족했던 건지 아쉽게도 그래도 다음 컴백 때 더 나은 모습 보여줄 거라 믿음,0
  @d.ya0u,얼마나 욕을 먹었으면 이렇게 이를갈고 나오냐 다음 컴백땐 더 잘하겠다,얼마나 욕을 먹었으면 이렇게 이를 갈고 나오냐 다음 컴백 땐 더 잘하겠다,1
